t_rel_s,raw_x,raw_y,raw_z,dx,dy,dz,stick_mag,target_x,target_y,target_z,tcp_x,tcp_y,tcp_z,tcp_vx,tcp_vy,tcp_vz,tcp_speed,q0,q1,q2,q3,q4,q5,qd0,qd1,qd2,qd3,qd4,qd5
0.000011,0.003906,0.003906,0.003906,-0.000000,0.000000,-0.000000,0.000000,-0.191635,-0.484633,0.162654,-0.191635,-0.484633,0.162654,0.000000,0.000000,0.000000,0.000000,0.853514,-1.399926,2.484345,3.628010,4.712415,2.424268,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
0.020065,0.003906,0.003906,0.003906,-0.000000,0.000000,-0.000000,0.000000,-0.191635,-0.484633,0.162654,-0.191637,-0.484632,0.162673,0.000000,0.000000,0.000000,0.000000,0.853518,-1.399962,2.484349,3.627986,4.712375,2.424304,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
0.040121,0.003906,0.003906,0.003906,-0.000000,0.000000,-0.000000,0.000000,-0.191635,-0.484633,0.162654,-0.191643,-0.484623,0.162692,0.000000,0.000000,0.000000,0.000000,0.853494,-1.400011,2.484361,3.627986,4.712391,2.424308,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
0.060160,0.003906,0.003906,0.003906,-0.000000,0.000000,-0.000000,0.000000,-0.191635,-0.484633,0.162654,-0.191630,-0.484613,0.162673,0.000000,0.000000,0.000000,0.000000,0.853494,-1.399990,2.484389,3.627974,4.712420,2.424311,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
0.080215,0.003906,0.003906,0.003906,-0.000000,0.000000,-0.000000,0.000000,-0.191635,-0.484633,0.162654,-0.191625,-0.484637,0.162656,0.000000,0.000000,0.000000,0.000000,0.853542,-1.399926,2.484349,3.627982,4.712383,2.424304,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
0.100270,0.003906,0.003906,0.003906,-0.000000,0.000000,-0.000000,0.000000,-0.191635,-0.484633,0.162654,-0.191636,-0.484647,0.162660,0.000000,0.000000,0.000000,0.000000,0.853526,-1.399918,2.484330,3.627974,4.712436,2.424343,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
0.120324,0.003906,0.003906,0.003906,-0.000000,0.000000,-0.000000,0.000000,-0.191635,-0.484633,0.162654,-0.191616,-0.484613,0.162655,0.000000,0.000000,0.000000,0.000000,0.853534,-1.399954,2.484393,3.627962,4.712339,2.424295,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
0.140378,0.003906,0.003906,0.003906,-0.000000,0.000000,-0.000000,0.000000,-0.191635,-0.484633,0.162654,-0.191622,-0.484603,0.162633,0.000000,0.000000,0.000000,0.000000,0.853506,-1.399926,2.484397,3.628015,4.712363,2.424288,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
0.160430,0.003906,0.003906,0.003906,-0.000000,0.000000,-0.000000,0.000000,-0.191635,-0.484633,0.162654,-0.191634,-0.484635,0.162673,0.000000,0.000000,0.000000,0.000000,0.853530,-1.399962,2.484337,3.628026,4.712363,2.424328,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
0.180486,0.003906,0.003906,0.003906,-0.000000,0.000000,-0.000000,0.000000,-0.191635,-0.484633,0.162654,-0.191630,-0.484628,0.162644,0.000000,0.000000,0.000000,0.000000,0.853526,-1.399906,2.484366,3.627946,4.712367,2.424295,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
0.200537,0.003906,0.003906,0.003906,-0.000000,0.000000,-0.000000,0.000000,-0.191635,-0.484633,0.162654,-0.191626,-0.484632,0.162676,0.000000,0.000000,0.000000,0.000000,0.853534,-1.399974,2.484357,3.627986,4.712383,2.424295,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
0.220591,0.003906,0.003906,0.003906,-0.000000,0.000000,-0.000000,0.000000,-0.191635,-0.484633,0.162654,-0.191626,-0.484605,0.162661,0.000000,0.000000,0.000000,0.000000,0.853506,-1.399974,2.484397,3.627978,4.712347,2.424315,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
0.240648,0.003906,0.003906,0.003906,-0.000000,0.000000,-0.000000,0.000000,-0.191635,-0.484633,0.162654,-0.191617,-0.484631,0.162672,0.000000,0.000000,0.000000,0.000000,0.853546,-1.399970,2.484366,3.627978,4.712383,2.424327,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
0.260699,0.003906,0.003906,0.003906,-0.000000,0.000000,-0.000000,0.000000,-0.191635,-0.484633,0.162654,-0.191620,-0.484604,0.162633,0.000000,0.000000,0.000000,0.000000,0.853506,-1.399926,2.484397,3.628014,4.712379,2.424315,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
