repo_id,robot_type,total_episodes,total_frames,camera_keys
pollen-robotics/apple_storage,reachy2,50,14983,observation.image
danaaubakirova/koch_test,koch,51,16602,"observation.images.laptop,observation.images.phone"
satvikahuja/mixer_on_off_new_1,so100,60,41082,"observation.images.laptop,observation.images.phone,observation.images.Lwebcam,observation.images.macwebcam"
ctbfl/sort_battery,koch,100,39728,"observation.images.laptop,observation.images.phone,observation.images.wrist"
yaotot/grasp_RedtoYellow_cube_sim,,220,39353,"observation.image.camera1_img,observation.image.camera2_img,observation.image.camera3_img"
IPEC-COMMUNITY/roboturk_lerobot,sawyer,1796,168423,observation.images.front_rgb
IPEC-COMMUNITY/fractal20220817_data_lerobot,google_robot,87212,3786400,observation.images.image
IPEC-COMMUNITY/bridge_orig_lerobot,widowx,53192,1893026,"observation.images.image_3,observation.images.image_2,observation.images.image_1,observation.images.image_0"
cadene/droid,franka,92233,27044326,"observation.images.exterior_image_2_left,observation.images.exterior_image_1_left,observation.images.wrist_image_left"
lerobot/pusht,unknown,206,25650,observation.image
lerobot/xarm_lift_medium,unknown,800,20000,observation.image
lerobot/xarm_lift_medium_replay,unknown,800,20000,observation.image
lerobot/xarm_push_medium,unknown,800,20000,observation.image
lerobot/xarm_push_medium_replay,unknown,800,20000,observation.image
lerobot/umi_cup_in_the_wild,unknown,1447,699432,observation.image
lerobot/aloha_static_screw_driver,aloha,50,20000,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist"
lerobot/aloha_static_candy,aloha,50,35000,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist"
lerobot/aloha_mobile_wipe_wine,aloha,50,65000,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
lerobot/aloha_static_coffee,aloha,50,55000,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist"
lerobot/aloha_static_towel,aloha,50,25000,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist"
lerobot/aloha_static_vinh_cup,aloha,101,45500,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist"
lerobot/aloha_static_vinh_cup_left,aloha,100,50000,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist"
lerobot/aloha_static_ziploc_slide,aloha,56,16800,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist"
lerobot/aloha_static_coffee_new,aloha,50,75000,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist"
lerobot/aloha_static_cups_open,aloha,50,20000,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist"
lerobot/aloha_static_pingpong_test,aloha,10,6000,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist"
lerobot/aloha_static_pro_pencil,aloha,25,8750,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_low,observation.images.cam_right_wrist"
lerobot/aloha_mobile_shrimp,aloha,18,67500,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
lerobot/aloha_mobile_wash_pan,aloha,50,55000,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
lerobot/aloha_mobile_cabinet,aloha,85,127500,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
lerobot/aloha_mobile_chair,aloha,55,110000,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
lerobot/aloha_mobile_elevator,aloha,20,45000,"observation.images.cam_high,observation.images.cam_left_wrist,observation.images.cam_right_wrist"
lerobot/unitreeh1_rearrange_objects,unknown,30,7150,"observation.images.cam_left,observation.images.cam_right"
lerobot/unitreeh1_two_robot_greeting,unknown,30,3750,"observation.images.cam_left,observation.images.cam_right"
lerobot/unitreeh1_warehouse,unknown,24,11275,"observation.images.cam_left,observation.images.cam_right"
lerobot/unitreeh1_fold_clothes,unknown,38,19000,"observation.images.cam_left,observation.images.cam_right"
lerobot/tokyo_u_lsmo,unknown,50,11925,observation.images.image
lerobot/utokyo_pr2_opening_fridge,unknown,80,11522,observation.images.image
lerobot/cmu_stretch,unknown,135,25016,observation.images.image
lerobot/asu_table_top,unknown,110,26113,observation.images.image
lerobot/utokyo_pr2_tabletop_manipulation,unknown,240,32708,observation.images.image
