Logging STS servo parameters for servo: shoulder_pitch
Interval: 0.1 seconds
==================================================
Timestamp: 1736435663.227
Model = [2825]
ID = [1]
Baud_Rate = [0]
Return_Delay = [0]
Response_Status_Level = [1]
Min_Angle_Limit = [650]
Max_Angle_Limit = [2600]
Max_Temperature_Limit = [80]
Max_Voltage_Limit = [160]
Min_Voltage_Limit = [60]
Max_Torque_Limit = [1000]
Phase = [12]
Unloading_Condition = [45]
LED_Alarm_Condition = [45]
P_Coefficient = [32]
D_Coefficient = [32]
I_Coefficient = [0]
Minimum_Startup_Force = [15]
CW_Dead_Zone = [0]
CCW_Dead_Zone = [0]
Protection_Current = [310]
Angular_Resolution = [1]
Offset = [0]
Mode = [0]
Protective_Torque = [20]
Protection_Time = [200]
Overload_Torque = [80]
Speed_closed_loop_P_proportional_coefficient = [10]
Over_Current_Protection_Time = [50]
Velocity_closed_loop_I_integral_coefficient = [200]
Torque_Enable = [1]
Acceleration = [20]
Goal_Position = [600]
Goal_Time = [0]
Goal_Speed = [0]
Torque_Limit = [1000]
Lock = [1]
Present_Position = [1862]
Present_Speed = [0]
Present_Load = [31]
Present_Voltage = [122]
Present_Temperature = [44]
Status = [0]
Moving = [1]
Present_Current = [2]
Maximum_Acceleration = [1530]
--------------------------------------------------
Timestamp: 1736435663.357
Model = [2825]
ID = [1]
Baud_Rate = [0]
Return_Delay = [0]
Response_Status_Level = [1]
Min_Angle_Limit = [650]
Max_Angle_Limit = [2600]
Max_Temperature_Limit = [80]
Max_Voltage_Limit = [160]
Min_Voltage_Limit = [60]
Max_Torque_Limit = [1000]
Phase = [12]
Unloading_Condition = [45]
LED_Alarm_Condition = [45]
P_Coefficient = [32]
D_Coefficient = [32]
I_Coefficient = [0]
Minimum_Startup_Force = [15]
CW_Dead_Zone = [0]
CCW_Dead_Zone = [0]
Protection_Current = [310]
Angular_Resolution = [1]
Offset = [0]
Mode = [0]
Protective_Torque = [20]
Protection_Time = [200]
Overload_Torque = [80]
Speed_closed_loop_P_proportional_coefficient = [10]
Over_Current_Protection_Time = [50]
Velocity_closed_loop_I_integral_coefficient = [200]
Torque_Enable = [1]
Acceleration = [20]
Goal_Position = [600]
Goal_Time = [0]
Goal_Speed = [0]
Torque_Limit = [1000]
Lock = [1]
Present_Position = [1837]
Present_Speed = [33068]
Present_Load = [59]
Present_Voltage = [122]
Present_Temperature = [44]
Status = [0]
Moving = [1]
Present_Current = [5]
Maximum_Acceleration = [1530]
--------------------------------------------------
Timestamp: 1736435663.488
Model = [2825]
ID = [1]
Baud_Rate = [0]
Return_Delay = [0]
Response_Status_Level = [1]
Min_Angle_Limit = [650]
Max_Angle_Limit = [2600]
Max_Temperature_Limit = [80]
Max_Voltage_Limit = [160]
Min_Voltage_Limit = [60]
Max_Torque_Limit = [1000]
Phase = [12]
Unloading_Condition = [45]
LED_Alarm_Condition = [45]
P_Coefficient = [32]
D_Coefficient = [32]
I_Coefficient = [0]
Minimum_Startup_Force = [15]
CW_Dead_Zone = [0]
CCW_Dead_Zone = [0]
Protection_Current = [310]
Angular_Resolution = [1]
Offset = [0]
Mode = [0]
Protective_Torque = [20]
Protection_Time = [200]
Overload_Torque = [80]
Speed_closed_loop_P_proportional_coefficient = [10]
Over_Current_Protection_Time = [50]
Velocity_closed_loop_I_integral_coefficient = [200]
Torque_Enable = [1]
Acceleration = [20]
Goal_Position = [600]
Goal_Time = [0]
Goal_Speed = [0]
Torque_Limit = [1000]
Lock = [1]
Present_Position = [1780]
Present_Speed = [33368]
Present_Load = [147]
Present_Voltage = [125]
Present_Temperature = [44]
Status = [0]
Moving = [1]
Present_Current = [32]
Maximum_Acceleration = [1530]
--------------------------------------------------
Timestamp: 1736435663.621
Model = [2825]
ID = [1]
Baud_Rate = [0]
Return_Delay = [0]
Response_Status_Level = [1]
Min_Angle_Limit = [650]
Max_Angle_Limit = [2600]
Max_Temperature_Limit = [80]
Max_Voltage_Limit = [160]
Min_Voltage_Limit = [60]
Max_Torque_Limit = [1000]
Phase = [12]
Unloading_Condition = [45]
LED_Alarm_Condition = [45]
P_Coefficient = [32]
D_Coefficient = [32]
I_Coefficient = [0]
Minimum_Startup_Force = [15]
CW_Dead_Zone = [0]
CCW_Dead_Zone = [0]
Protection_Current = [310]
Angular_Resolution = [1]
Offset = [0]
Mode = [0]
Protective_Torque = [20]
Protection_Time = [200]
Overload_Torque = [80]
Speed_closed_loop_P_proportional_coefficient = [10]
Over_Current_Protection_Time = [50]
Velocity_closed_loop_I_integral_coefficient = [200]
Torque_Enable = [1]
Acceleration = [20]
Goal_Position = [600]
Goal_Time = [0]
Goal_Speed = [0]
Torque_Limit = [1000]
Lock = [1]
Present_Position = [1699]
Present_Speed = [33418]
Present_Load = [295]
Present_Voltage = [120]
Present_Temperature = [44]
Status = [0]
Moving = [1]
Present_Current = [97]
Maximum_Acceleration = [1530]
--------------------------------------------------
Timestamp: 1736435663.753
Model = [2825]
ID = [1]
Baud_Rate = [0]
Return_Delay = [0]
Response_Status_Level = [1]
Min_Angle_Limit = [650]
Max_Angle_Limit = [2600]
Max_Temperature_Limit = [80]
Max_Voltage_Limit = [160]
Min_Voltage_Limit = [60]
Max_Torque_Limit = [1000]
Phase = [12]
Unloading_Condition = [45]
LED_Alarm_Condition = [45]
P_Coefficient = [32]
D_Coefficient = [32]
I_Coefficient = [0]
Minimum_Startup_Force = [15]
CW_Dead_Zone = [0]
CCW_Dead_Zone = [0]
Protection_Current = [310]
Angular_Resolution = [1]
Offset = [0]
Mode = [0]
Protective_Torque = [20]
Protection_Time = [200]
Overload_Torque = [80]
Speed_closed_loop_P_proportional_coefficient = [10]
Over_Current_Protection_Time = [50]
Velocity_closed_loop_I_integral_coefficient = [200]
Torque_Enable = [1]
Acceleration = [20]
Goal_Position = [600]
Goal_Time = [0]
Goal_Speed = [0]
Torque_Limit = [1000]
Lock = [1]
Present_Position = [1583]
Present_Speed = [33818]
Present_Load = [463]
Present_Voltage = [119]
Present_Temperature = [44]
Status = [0]
Moving = [1]
Present_Current = [182]
Maximum_Acceleration = [1530]
--------------------------------------------------
Timestamp: 1736435663.884
Model = [2825]
ID = [1]
Baud_Rate = [0]
Return_Delay = [0]
Response_Status_Level = [1]
Min_Angle_Limit = [650]
Max_Angle_Limit = [2600]
Max_Temperature_Limit = [80]
Max_Voltage_Limit = [160]
Min_Voltage_Limit = [60]
Max_Torque_Limit = [1000]
Phase = [12]
Unloading_Condition = [45]
LED_Alarm_Condition = [45]
P_Coefficient = [32]
D_Coefficient = [32]
I_Coefficient = [0]
Minimum_Startup_Force = [15]
CW_Dead_Zone = [0]
CCW_Dead_Zone = [0]
Protection_Current = [310]
Angular_Resolution = [1]
Offset = [0]
Mode = [0]
Protective_Torque = [20]
Protection_Time = [200]
Overload_Torque = [80]
Speed_closed_loop_P_proportional_coefficient = [10]
Over_Current_Protection_Time = [50]
Velocity_closed_loop_I_integral_coefficient = [200]
Torque_Enable = [1]
Acceleration = [20]
Goal_Position = [600]
Goal_Time = [0]
Goal_Speed = [0]
Torque_Limit = [1000]
Lock = [1]
Present_Position = [1418]
Present_Speed = [34068]
Present_Load = [503]
Present_Voltage = [120]
Present_Temperature = [44]
Status = [0]
Moving = [1]
Present_Current = [163]
Maximum_Acceleration = [1530]
--------------------------------------------------
Timestamp: 1736435664.016
Model = [2825]
ID = [1]
Baud_Rate = [0]
Return_Delay = [0]
Response_Status_Level = [1]
Min_Angle_Limit = [650]
Max_Angle_Limit = [2600]
Max_Temperature_Limit = [80]
Max_Voltage_Limit = [160]
Min_Voltage_Limit = [60]
Max_Torque_Limit = [1000]
Phase = [12]
Unloading_Condition = [45]
LED_Alarm_Condition = [45]
P_Coefficient = [32]
D_Coefficient = [32]
I_Coefficient = [0]
Minimum_Startup_Force = [15]
CW_Dead_Zone = [0]
CCW_Dead_Zone = [0]
Protection_Current = [310]
Angular_Resolution = [1]
Offset = [0]
Mode = [0]
